matchId,draftgap_prediction,loldraftai_prediction,actual_result,draftgap_error,loldraftai_error,better_model,champion_ids,Blue_Top,Red_Top,Blue_Jungle,Red_Jungle,Blue_Mid,Red_Mid,Blue_ADC,Red_ADC,Blue_Support,Red_Support
EUW1_7296265386,0.3356904237725964,0.3657679855823517,0,0.3356904237725964,0.3657679855823517,DraftGap,"['19', '234', '157', '429', '555', '57', '30', '777', '145', '80']",Warwick,Maokai,Viego,Karthus,Yasuo,Yone,Kalista,Kai'Sa,Pyke,Pantheon
EUW1_7296165824,0.47757455844719215,0.44144612550735474,0,0.47757455844719215,0.44144612550735474,LoLDraftAI,"['68', '64', '103', '21', '267', '36', '59', '245', '901', '78']",Rumble,Dr. Mundo,Lee Sin,Jarvan IV,Ahri,Ekko,Miss Fortune,Smolder,Nami,Poppy
EUW1_7296404755,0.4790445835462804,0.5699011087417603,1,0.5209554164537196,0.43009889125823975,LoLDraftAI,"['875', '887', '800', '202', '412', '150', '35', '1', '29', '111']",Sett,Gnar,Gwen,Shaco,Mel,Annie,Jhin,Twitch,Thresh,Nautilus
EUW1_7295569693,0.5380422046289194,0.5508901476860046,1,0.4619577953710806,0.44910985231399536,LoLDraftAI,"['516', '11', '101', '110', '497', '112', '254', '3', '42', '43']",Ornn,Viktor,Master Yi,Vi,Xerath,Galio,Varus,Corki,Rakan,Karma
EUW1_7295326805,0.36766473526236,0.3979620933532715,1,0.63233526473764,0.6020379066467285,LoLDraftAI,"['83', '234', '893', '901', '910', '516', '28', '105', '67', '117']",Yorick,Ornn,Viego,Evelynn,Aurora,Fizz,Smolder,Vayne,Hwei,Lulu
EUW1_7295476649,0.441295125891241,0.6067413687705994,0,0.441295125891241,0.6067413687705994,DraftGap,"['24', '121', '127', '202', '412', '799', '19', '103', '81', '43']",Jax,Ambessa,Kha'Zix,Warwick,Lissandra,Ahri,Jhin,Ezreal,Thresh,Karma
EUW1_7296226047,0.4904391416276268,0.25005432963371277,0,0.4904391416276268,0.25005432963371277,LoLDraftAI,"['799', '24', '101', '67', '50', '126', '131', '112', '222', '40']",Ambessa,Jayce,Jax,Diana,Xerath,Viktor,Vayne,Jinx,Swain,Janna
EUW1_7295790967,0.43254071124587584,0.4433670938014984,1,0.5674592887541241,0.5566329061985016,LoLDraftAI,"['157', '141', '90', '202', '143', '799', '254', '893', '50', '89']",Yasuo,Ambessa,Kayn,Vi,Malzahar,Aurora,Jhin,Swain,Zyra,Leona
EUW1_7296247408,0.49677202592824277,0.47359177470207214,1,0.5032279740717572,0.5264082252979279,DraftGap,"['799', '11', '127', '110', '98', '122', '131', '7', '498', '497']",Ambessa,Darius,Master Yi,Diana,Lissandra,LeBlanc,Varus,Xayah,Shen,Rakan
EUW1_7296512284,0.48887910728552136,0.5764638781547546,1,0.5111208927144786,0.42353612184524536,LoLDraftAI,"['78', '121', '69', '51', '412', '2', '200', '157', '21', '267']",Poppy,Olaf,Kha'Zix,Bel'Veth,Cassiopeia,Yasuo,Caitlyn,Miss Fortune,Thresh,Nami
